So‘z,Teg,Turkum
shiq-shiq,Ono,taqlid so‘zlar
dum-dum,Ono,taqlid so‘zlar
oh,Int,undov so‘zlar
voy,Int,undov so‘zlar
uf,Int,undov so‘zlar
hey,Int,undov so‘zlar
uff,Int,undov so‘zlar
evoh,Int,undov so‘zlar
ho,Int,undov so‘zlar
ha,Int,undov so‘zlar
soz_1,N,ot
soz_2,N,ot
soz_3,N,ot
soz_4,N,ot
soz_5,N,ot
soz_6,N,ot
soz_7,N,ot
soz_8,N,ot
soz_9,N,ot
soz_10,N,ot
soz_11,N,ot
soz_12,N,ot
soz_13,N,ot
soz_14,N,ot
soz_15,N,ot
soz_16,N,ot
soz_17,N,ot
soz_18,N,ot
soz_19,N,ot
soz_20,N,ot
soz_21,N,ot
soz_22,N,ot
soz_23,N,ot
soz_24,N,ot
soz_25,N,ot
soz_26,N,ot
soz_27,N,ot
soz_28,N,ot
soz_29,N,ot
soz_30,N,ot
soz_31,N,ot
soz_32,N,ot
soz_33,N,ot
soz_34,N,ot
soz_35,N,ot
soz_36,N,ot
soz_37,N,ot
soz_38,N,ot
soz_39,N,ot
soz_40,N,ot
soz_41,N,ot
soz_42,N,ot
soz_43,N,ot
soz_44,N,ot
soz_45,N,ot
soz_46,N,ot
soz_47,N,ot
soz_48,N,ot
soz_49,N,ot
soz_50,N,ot
soz_51,N,ot
soz_52,N,ot
soz_53,N,ot
soz_54,N,ot
soz_55,N,ot
soz_56,N,ot
soz_57,N,ot
soz_58,N,ot
soz_59,N,ot
soz_60,N,ot
soz_61,N,ot
soz_62,N,ot
soz_63,N,ot
soz_64,N,ot
soz_65,N,ot
soz_66,N,ot
soz_67,N,ot
soz_68,N,ot
soz_69,N,ot
soz_70,N,ot
soz_71,N,ot
soz_72,N,ot
soz_73,N,ot
soz_74,N,ot
soz_75,N,ot
soz_76,N,ot
soz_77,N,ot
soz_78,N,ot
soz_79,N,ot
soz_80,N,ot
soz_81,N,ot
soz_82,N,ot
soz_83,N,ot
soz_84,N,ot
soz_85,N,ot
soz_86,N,ot
soz_87,N,ot
soz_88,N,ot
soz_89,N,ot
soz_90,N,ot
soz_91,N,ot
soz_92,N,ot
soz_93,N,ot
soz_94,N,ot
soz_95,N,ot
soz_96,N,ot
soz_97,N,ot
soz_98,N,ot
soz_99,N,ot
soz_100,N,ot
soz_101,N,ot
soz_102,N,ot
soz_103,N,ot
soz_104,N,ot
soz_105,N,ot
soz_106,N,ot
soz_107,N,ot
soz_108,N,ot
soz_109,N,ot
soz_110,N,ot
soz_111,N,ot
soz_112,N,ot
soz_113,N,ot
soz_114,N,ot
soz_115,N,ot
soz_116,N,ot
soz_117,N,ot
soz_118,N,ot
soz_119,N,ot
soz_120,N,ot
soz_121,N,ot
soz_122,N,ot
soz_123,N,ot
soz_124,N,ot
soz_125,N,ot
soz_126,N,ot
soz_127,N,ot
soz_128,N,ot
soz_129,N,ot
soz_130,N,ot
soz_131,N,ot
soz_132,N,ot
soz_133,N,ot
soz_134,N,ot
soz_135,N,ot
soz_136,N,ot
soz_137,N,ot
soz_138,N,ot
soz_139,N,ot
soz_140,N,ot
soz_141,N,ot
soz_142,N,ot
soz_143,N,ot
soz_144,N,ot
soz_145,N,ot
soz_146,N,ot
soz_147,N,ot
soz_148,N,ot
soz_149,N,ot
soz_150,N,ot
soz_151,Adj,sifat
soz_152,Adj,sifat
soz_153,Adj,sifat
soz_154,Adj,sifat
soz_155,Adj,sifat
soz_156,Adj,sifat
soz_157,Adj,sifat
soz_158,Adj,sifat
soz_159,Adj,sifat
soz_160,Adj,sifat
soz_161,Adj,sifat
soz_162,Adj,sifat
soz_163,Adj,sifat
soz_164,Adj,sifat
soz_165,Adj,sifat
soz_166,Adj,sifat
soz_167,Adj,sifat
soz_168,Adj,sifat
soz_169,Adj,sifat
soz_170,Adj,sifat
soz_171,Adj,sifat
soz_172,Adj,sifat
soz_173,Adj,sifat
soz_174,Adj,sifat
soz_175,Adj,sifat
soz_176,Adj,sifat
soz_177,Adj,sifat
soz_178,Adj,sifat
soz_179,Adj,sifat
soz_180,Adj,sifat
soz_181,Adj,sifat
soz_182,Adj,sifat
soz_183,Adj,sifat
soz_184,Adj,sifat
soz_185,Adj,sifat
soz_186,Adj,sifat
soz_187,Adj,sifat
soz_188,Adj,sifat
soz_189,Adj,sifat
soz_190,Adj,sifat
soz_191,Adj,sifat
soz_192,Adj,sifat
soz_193,Adj,sifat
soz_194,Adj,sifat
soz_195,Adj,sifat
soz_196,Adj,sifat
soz_197,Adj,sifat
soz_198,Adj,sifat
soz_199,Adj,sifat
soz_200,Adj,sifat
soz_201,Adj,sifat
soz_202,Adj,sifat
soz_203,Adj,sifat
soz_204,Adj,sifat
soz_205,Adj,sifat
soz_206,Adj,sifat
soz_207,Adj,sifat
soz_208,Adj,sifat
soz_209,Adj,sifat
soz_210,Adj,sifat
soz_211,Adj,sifat
soz_212,Adj,sifat
soz_213,Adj,sifat
soz_214,Adj,sifat
soz_215,Adj,sifat
soz_216,Adj,sifat
soz_217,Adj,sifat
soz_218,Adj,sifat
soz_219,Adj,sifat
soz_220,Adj,sifat
soz_221,Adj,sifat
soz_222,Adj,sifat
soz_223,Adj,sifat
soz_224,Adj,sifat
soz_225,Adj,sifat
soz_226,Adj,sifat
soz_227,Adj,sifat
soz_228,Adj,sifat
soz_229,Adj,sifat
soz_230,Adj,sifat
soz_231,Adj,sifat
soz_232,Adj,sifat
soz_233,Adj,sifat
soz_234,Adj,sifat
soz_235,Adj,sifat
soz_236,Adj,sifat
soz_237,Adj,sifat
soz_238,Adj,sifat
soz_239,Adj,sifat
soz_240,Adj,sifat
soz_241,Adj,sifat
soz_242,Adj,sifat
soz_243,Adj,sifat
soz_244,Adj,sifat
soz_245,Adj,sifat
soz_246,Adj,sifat
soz_247,Adj,sifat
soz_248,Adj,sifat
soz_249,Adj,sifat
soz_250,Adj,sifat
soz_251,Adj,sifat
soz_252,Adj,sifat
soz_253,Adj,sifat
soz_254,Adj,sifat
soz_255,Adj,sifat
soz_256,Adj,sifat
soz_257,Adj,sifat
soz_258,Adj,sifat
soz_259,Adj,sifat
soz_260,Adj,sifat
soz_261,Adj,sifat
soz_262,Adj,sifat
soz_263,Adj,sifat
soz_264,Adj,sifat
soz_265,Adj,sifat
soz_266,Adj,sifat
soz_267,Adj,sifat
soz_268,Adj,sifat
soz_269,Adj,sifat
soz_270,Adj,sifat
soz_271,Adj,sifat
soz_272,Adj,sifat
soz_273,Adj,sifat
soz_274,Adj,sifat
soz_275,Adj,sifat
soz_276,Adj,sifat
soz_277,Adj,sifat
soz_278,Adj,sifat
soz_279,Adj,sifat
soz_280,Adj,sifat
soz_281,Adj,sifat
soz_282,Adj,sifat
soz_283,Adj,sifat
soz_284,Adj,sifat
soz_285,Adj,sifat
soz_286,Adj,sifat
soz_287,Adj,sifat
soz_288,Adj,sifat
soz_289,Adj,sifat
soz_290,Adj,sifat
soz_291,Adj,sifat
soz_292,Adj,sifat
soz_293,Adj,sifat
soz_294,Adj,sifat
soz_295,Adj,sifat
soz_296,Adj,sifat
soz_297,Adj,sifat
soz_298,Adj,sifat
soz_299,Adj,sifat
soz_300,Adj,sifat
soz_301,V,fe’l
soz_302,V,fe’l
soz_303,V,fe’l
soz_304,V,fe’l
soz_305,V,fe’l
soz_306,V,fe’l
soz_307,V,fe’l
soz_308,V,fe’l
soz_309,V,fe’l
soz_310,V,fe’l
soz_311,V,fe’l
soz_312,V,fe’l
soz_313,V,fe’l
soz_314,V,fe’l
soz_315,V,fe’l
soz_316,V,fe’l
soz_317,V,fe’l
soz_318,V,fe’l
soz_319,V,fe’l
soz_320,V,fe’l
soz_321,V,fe’l
soz_322,V,fe’l
soz_323,V,fe’l
soz_324,V,fe’l
soz_325,V,fe’l
soz_326,V,fe’l
soz_327,V,fe’l
soz_328,V,fe’l
soz_329,V,fe’l
soz_330,V,fe’l
soz_331,V,fe’l
soz_332,V,fe’l
soz_333,V,fe’l
soz_334,V,fe’l
soz_335,V,fe’l
soz_336,V,fe’l
soz_337,V,fe’l
soz_338,V,fe’l
soz_339,V,fe’l
soz_340,V,fe’l
soz_341,V,fe’l
soz_342,V,fe’l
soz_343,V,fe’l
soz_344,V,fe’l
soz_345,V,fe’l
soz_346,V,fe’l
soz_347,V,fe’l
soz_348,V,fe’l
soz_349,V,fe’l
soz_350,V,fe’l
soz_351,V,fe’l
soz_352,V,fe’l
soz_353,V,fe’l
soz_354,V,fe’l
soz_355,V,fe’l
soz_356,V,fe’l
soz_357,V,fe’l
soz_358,V,fe’l
soz_359,V,fe’l
soz_360,V,fe’l
soz_361,V,fe’l
soz_362,V,fe’l
soz_363,V,fe’l
soz_364,V,fe’l
soz_365,V,fe’l
soz_366,V,fe’l
soz_367,V,fe’l
soz_368,V,fe’l
soz_369,V,fe’l
soz_370,V,fe’l
soz_371,V,fe’l
soz_372,V,fe’l
soz_373,V,fe’l
soz_374,V,fe’l
soz_375,V,fe’l
soz_376,V,fe’l
soz_377,V,fe’l
soz_378,V,fe’l
soz_379,V,fe’l
soz_380,V,fe’l
soz_381,V,fe’l
soz_382,V,fe’l
soz_383,V,fe’l
soz_384,V,fe’l
soz_385,V,fe’l
soz_386,V,fe’l
soz_387,V,fe’l
soz_388,V,fe’l
soz_389,V,fe’l
soz_390,V,fe’l
soz_391,V,fe’l
soz_392,V,fe’l
soz_393,V,fe’l
soz_394,V,fe’l
soz_395,V,fe’l
soz_396,V,fe’l
soz_397,V,fe’l
soz_398,V,fe’l
soz_399,V,fe’l
soz_400,V,fe’l
soz_401,V,fe’l
soz_402,V,fe’l
soz_403,V,fe’l
soz_404,V,fe’l
soz_405,V,fe’l
soz_406,V,fe’l
soz_407,V,fe’l
soz_408,V,fe’l
soz_409,V,fe’l
soz_410,V,fe’l
soz_411,V,fe’l
soz_412,V,fe’l
soz_413,V,fe’l
soz_414,V,fe’l
soz_415,V,fe’l
soz_416,V,fe’l
soz_417,V,fe’l
soz_418,V,fe’l
soz_419,V,fe’l
soz_420,V,fe’l
soz_421,V,fe’l
soz_422,V,fe’l
soz_423,V,fe’l
soz_424,V,fe’l
soz_425,V,fe’l
soz_426,V,fe’l
soz_427,V,fe’l
soz_428,V,fe’l
soz_429,V,fe’l
soz_430,V,fe’l
soz_431,V,fe’l
soz_432,V,fe’l
soz_433,V,fe’l
soz_434,V,fe’l
soz_435,V,fe’l
soz_436,V,fe’l
soz_437,V,fe’l
soz_438,V,fe’l
soz_439,V,fe’l
soz_440,V,fe’l
soz_441,V,fe’l
soz_442,V,fe’l
soz_443,V,fe’l
soz_444,V,fe’l
soz_445,V,fe’l
soz_446,V,fe’l
soz_447,V,fe’l
soz_448,V,fe’l
soz_449,V,fe’l
soz_450,V,fe’l
soz_451,Adv,ravish
soz_452,Adv,ravish
soz_453,Adv,ravish
soz_454,Adv,ravish
soz_455,Adv,ravish
soz_456,Adv,ravish
soz_457,Adv,ravish
soz_458,Adv,ravish
soz_459,Adv,ravish
soz_460,Adv,ravish
soz_461,Adv,ravish
soz_462,Adv,ravish
soz_463,Adv,ravish
soz_464,Adv,ravish
soz_465,Adv,ravish
soz_466,Adv,ravish
soz_467,Adv,ravish
soz_468,Adv,ravish
soz_469,Adv,ravish
soz_470,Adv,ravish
soz_471,Adv,ravish
soz_472,Adv,ravish
soz_473,Adv,ravish
soz_474,Adv,ravish
soz_475,Adv,ravish
soz_476,Adv,ravish
soz_477,Adv,ravish
soz_478,Adv,ravish
soz_479,Adv,ravish
soz_480,Adv,ravish
soz_481,Adv,ravish
soz_482,Adv,ravish
soz_483,Adv,ravish
soz_484,Adv,ravish
soz_485,Adv,ravish
soz_486,Adv,ravish
soz_487,Adv,ravish
soz_488,Adv,ravish
soz_489,Adv,ravish
soz_490,Adv,ravish
soz_491,Adv,ravish
soz_492,Adv,ravish
soz_493,Adv,ravish
soz_494,Adv,ravish
soz_495,Adv,ravish
soz_496,Adv,ravish
soz_497,Adv,ravish
soz_498,Adv,ravish
soz_499,Adv,ravish
soz_500,Adv,ravish
